Internal_ID,Internal_Variant_ID,Brand,FC_Title_Short,US_Title_Short,SKU,Visible,Stock_Disable_Sold_Out,Score,Priorité,Type de correction,Erreurs critiques,Erreurs majeures,Erreurs mineures,Alertes catalogue
63356898,!ID:105880904,SACHAJUAN,Après-Shampooing Soin Couleur,Colour Protect Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356898,!ID:105880965,SACHAJUAN,Après-Shampooing Soin Couleur,Colour Protect Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63356898,!ID:105881003,SACHAJUAN,Après-Shampooing Soin Couleur,Colour Protect Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357109,!ID:105881232,SACHAJUAN,Shampooing Volume,Volume Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357109,!ID:105881252,SACHAJUAN,Shampooing Volume,Volume Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357109,!ID:105881305,SACHAJUAN,Shampooing Volume,Volume Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357272,!ID:105881464,SACHAJUAN, Après-Shampooing Volume,Volume Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357272,!ID:105881612,SACHAJUAN, Après-Shampooing Volume,Volume Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357272,!ID:105881739,SACHAJUAN, Après-Shampooing Volume,Volume Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357738,!ID:105882175,SACHAJUAN, Spray Sel de Mer,Sea Salt Spray ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357738,!ID:105882223,SACHAJUAN, Spray Sel de Mer,Sea Salt Spray ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63357824,!ID:105882346,SACHAJUAN,Mousse Capillaire Volumisante 150ml (5.1 oz),Volume Hair Mousse 150 ml (5.1 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358245,!ID:105883147,SACHAJUAN,Shampooing Réparateur Intensif,Intensive Repair Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358349,!ID:105883310,SACHAJUAN,Après-Shampooing Réparateur Intensif,Intensive Repair Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358407,!ID:105883426,SACHAJUAN, Revitalisant Intensif Sans Rinçage (150ml / 5.1 oz),Intensive Leave-In Conditioner  (150ml / 5.1 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358519,!ID:105883631,SACHAJUAN,Shampooing Cuir Chevelu,Scalp Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358519,!ID:105883656,SACHAJUAN,Shampooing Cuir Chevelu,Scalp Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358519,!ID:105883688,SACHAJUAN,Shampooing Cuir Chevelu,Scalp Shampoo ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358694,!ID:105883910,SACHAJUAN,Après-Shampooing Cuir Chevelu,Scalp Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358694,!ID:105884180,SACHAJUAN,Après-Shampooing Cuir Chevelu,Scalp Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358694,!ID:105884268,SACHAJUAN,Après-Shampooing Cuir Chevelu,Scalp Conditioner ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358949,!ID:105884366,SACHAJUAN,Gommage du Cuir Chevelu (250ml / 8.4 oz),Scalp Scrub (250ml / 8.4 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63358998,!ID:105884447,SACHAJUAN,Brosse de Massage pour Cuir Chevelu,Scalp Massage Brush ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359205,!ID:105884840,SACHAJUAN,Duo Soin du Cuir Chevelu (90ml / 3.0 oz), Scalp Treatment Duo (90ml / 3.0 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359461,!ID:105885266,SACHAJUAN,Shampooing Cheveux Bouclés,Curl Shampoo,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359461,!ID:105885349,SACHAJUAN,Shampooing Cheveux Bouclés,Curl Shampoo,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359461,!ID:105885388,SACHAJUAN,Shampooing Cheveux Bouclés,Curl Shampoo,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359628,!ID:105885643,SACHAJUAN,Après-Shampooing Cheveux Bouclés,Curl Conditioner,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359628,!ID:105885701,SACHAJUAN,Après-Shampooing Cheveux Bouclés,Curl Conditioner,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359628,!ID:105885769,SACHAJUAN,Après-Shampooing Cheveux Bouclés,Curl Conditioner,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63359834,!ID:105886037,SACHAJUAN,Traitement Cheveux Bouclés,Curl Treatment ,,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63360144,!ID:105886611,SACHAJUAN,Crème Thermo-Protectrice (150ml / 5.1 oz),Heat Protection Cream (150ml / 5.1 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63360278,!ID:105886816,SACHAJUAN, Crème Coiffante (125ml / 4.2 oz),Styling Cream (125ml / 4.2 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63360446,!ID:105887128,SACHAJUAN, Crème de Finition  (75ml / 2.5 oz),Finish Cream (75ml / 2.5 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63360557,!ID:105887337,SACHAJUAN,Sérum Brillance (30ml / 1.0 oz),Shine Serum (30ml / 1.0 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63360850,!ID:105887866,SACHAJUAN,Parfum Protecteur pour Cheveux (50ml / 1.7 oz),Protective Hair Perfume (50ml / 1.7 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63360850,!ID:105888041,SACHAJUAN,Parfum Protecteur pour Cheveux (50ml / 1.7 oz),Protective Hair Perfume (50ml / 1.7 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63361100,!ID:105888255,SACHAJUAN,Crème Volume (125ml / 4.2 oz),Volume Cream (125ml / 4.2 oz),,N,Y,100,Conforme,,,,,Produit invisible — vérifier si volontaire
63361303,!ID:105888630,SACHAJUAN,Huile Nutrition Intense (50ml / 1.7 oz),Intensive Hair Oil (50ml / 1.7 oz),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63361566,!ID:105889073,SACHAJUAN,Revitalisant Sans Rinçage (250ml / 8.4 oz),Leave-In Conditioner (250ml / 8.4 oz),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63361709,!ID:105889354,SACHAJUAN,Après-Shampooing Cheveux Normaux,Normal Hair Conditioner ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63361709,!ID:105889417,SACHAJUAN,Après-Shampooing Cheveux Normaux,Normal Hair Conditioner ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63361709,!ID:105889460,SACHAJUAN,Après-Shampooing Cheveux Normaux,Normal Hair Conditioner ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63361939,!ID:105889726,SACHAJUAN,Shampooing Cheveux Normaux,Normal Hair Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63361939,!ID:105889866,SACHAJUAN,Shampooing Cheveux Normaux,Normal Hair Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63361939,!ID:105889941,SACHAJUAN,Shampooing Cheveux Normaux,Normal Hair Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63362400,!ID:105890493,SACHAJUAN,Shampooing Argent,Silver Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63362400,!ID:105890578,SACHAJUAN,Shampooing Argent,Silver Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63362530,!ID:105890698,SACHAJUAN,Après-Shampooing Argent,Silver Conditioner,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63362530,!ID:105890800,SACHAJUAN,Après-Shampooing Argent,Silver Conditioner,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63362699,!ID:105891026,SACHAJUAN,Crème Nettoyant pour Cheveux (500ml / 16.9 oz),Hair Cleansing Cream (500ml / 16.9 oz),,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63363045,!ID:105891706,SACHAJUAN, Après-Shampooing Anti-Pollution,Anti Pollution Shampoo ,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63363142,!ID:105891932,SACHAJUAN,Shampooing Anti-Pollution , Anti Pollution Shampoo,,N,Y,95,Action requise,HTML à corriger,,US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63363515,!ID:105892724,SACHAJUAN,Lotion pour le Corps (500ml / 16.9 oz) ,Body Lotion (500ml / 16.9 oz) ,,N,Y,90,Action requise,HTML à corriger,,FC H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
63363515,!ID:105892734,SACHAJUAN,Lotion pour le Corps (500ml / 16.9 oz) ,Body Lotion (500ml / 16.9 oz) ,,N,Y,90,Action requise,HTML à corriger,,FC H2 DESCRIPTION manquant | US H2 HOW TO USE / USE manquant,,Produit invisible — vérifier si volontaire
